pl_name,pl_bmassj,pl_orbper,discoverymethod
"Kepler-338 b",0.09600000,13.72697600000,"Transit"
"HD 5583 b",5.78000000,139.35000000000,"Radial Velocity"
"HD 188641 b",29.36500000,14583.81038000000,"Radial Velocity"
"K2-39 b",0.09000000,4.60543000000,"Transit"
"OGLE-2019-BLG-0960L b",0.00786588,,"Microlensing"
"Kepler-1872 b",0.01970000,3.82591009100,"Transit"
"GSC 06214-00210 b",16.00000000,,"Imaging"
"K2-130 b",0.00660000,2.49412000000,"Transit"
"HD 89839 b",5.50000000,3391.20000000000,"Radial Velocity"
"Kepler-106 e",0.03500000,43.84450000000,"Transit"
"Kepler-430 c",0.01170000,110.97900000000,"Transit"
"Ross 508 b",0.01258541,10.77000000000,"Radial Velocity"
"Kepler-869 b",0.03990000,40.42877550000,"Transit"
"GJ 2126 b",1.30000000,272.70000000000,"Radial Velocity"
"WASP-46 b",1.91000000,1.43036763000,"Transit"
"Kepler-932 b",0.00771000,1.92143739600,"Transit"
"HD 1605 b",0.93400000,577.20000000000,"Radial Velocity"
"Kepler-1206 b",0.01050000,1.21699766300,"Transit"
"Kepler-520 b",0.01070000,19.67416124000,"Transit"
"Kepler-27 c",13.80000000,31.33090000000,"Transit"
"Kepler-1250 b",0.01370000,2.60754383400,"Transit"
"TOI-2141 b",0.06324167,18.26160800000,"Transit"
"GJ 317 b",2.50000000,695.69000000000,"Radial Velocity"
"Kepler-1851 b",0.04550000,12.02289963000,"Transit"
"K2-308 b",0.22200000,3.38628000000,"Transit"
"KOINTREAU-1 b",10.60000000,,"Imaging"
"Kepler-350 b",0.05317335,11.18956200000,"Transit"
"K2-414 c",0.01380000,6.66900000000,"Transit"
"K2-148 b",0.00733000,4.38395000000,"Transit"
"Kepler-633 b",0.01040000,8.50340718000,"Transit"
"Kepler-61 b",0.01660000,59.87756000000,"Transit"
"TOI-4562 b",2.30000000,225.10640000000,"Transit"
"Kepler-1154 c",0.01940000,8.45808312000,"Transit"
"Kepler-241 c",0.02240000,36.06597800000,"Transit"
"Kepler-863 b",0.02750000,15.59461874000,"Transit"
"CoRoT-35 b",1.10000000,3.22748000000,"Transit"
"Kepler-1127 b",0.01420000,5.12330347000,"Transit"
"Kepler-1234 b",0.02610000,11.94014029000,"Transit"
"HAT-P-27 b",0.62000000,3.03957700000,"Transit"
"Kepler-1934 b",0.00221000,1.41975998900,"Transit"
"Kepler-1344 b",0.01270000,4.76830490000,"Transit"
"Kepler-1124 b",0.00687000,2.85234897500,"Transit"
"Kepler-117 c",1.84000000,50.79039100000,"Transit"
"K2-97 b",0.54900000,8.40711500000,"Transit"
"Kepler-1581 b",0.00137000,6.28385491000,"Transit"
"TOI-206 b",0.00705000,0.73631040000,"Transit"
"BD+48 740 b",1.70000000,733.00000000000,"Radial Velocity"
"EPIC 212587672 b",0.00669000,15.28078000000,"Transit"
"OGLE-2016-BLG-1800L b",2.59000000,,"Microlensing"
"HD 4308 b",0.05000000,15.56000000000,"Radial Velocity"
"Kepler-1403 b",0.01640000,5.19492202000,"Transit"
"TOI-707 b",0.02020000,52.79918000000,"Transit"
"Kepler-546 b",0.12300000,4.14702025800,"Transit"
"Kepler-299 d",0.01300000,15.05478600000,"Transit"
"TOI-283 b",0.02057714,17.61745000000,"Transit"
"TOI-205 b",0.02140000,4.25300773815,"Transit"
"Kepler-236 b",0.00972000,8.29561100000,"Transit"
"HIP 8541 b",7.71400000,1852.14387000000,"Radial Velocity"
"HD 92788 c",3.67000000,11611.29750000000,"Radial Velocity"
"Kepler-310 b",0.00570000,13.93069800000,"Transit"
"Kepler-1886 b",0.02260000,24.27580070000,"Transit"
"HD 207832 c",0.73000000,1155.70000000000,"Radial Velocity"
"HAT-P-49 b",2.20000000,2.69155000000,"Transit"
"TOI-6019 b",0.46880643,14.54795200000,"Transit"
"MOA-2007-BLG-400L b",1.70000000,,"Microlensing"
"16 Cyg B b",1.78000000,798.50000000000,"Radial Velocity"
"OGLE-2019-BLG-1492L b",0.11672965,,"Microlensing"
"Kepler-522 b",0.12000000,38.58422849000,"Transit"
"Kepler-1467 b",0.03430000,47.05690430000,"Transit"
"Kepler-758 c",0.01100000,4.75793986000,"Transit"
"Kepler-19 b",0.01919275,9.28699000000,"Transit"
"Kepler-1102 b",0.02380000,51.32856230000,"Transit"
"HD 72659 c",19.40000000,35500.00000000000,"Radial Velocity"
"HD 174205 b",4.20000000,582.00000000000,"Radial Velocity"
"Kepler-617 b",0.00724000,1.68269614800,"Transit"
"Kepler-371 c",0.01200000,67.96801500000,"Transit"
"Kepler-265 e",0.02270000,67.83102400000,"Transit"
"KMT-2016-BLG-0212L b",18.00000000,,"Microlensing"
"Kepler-1610 c",0.01580000,44.98518850000,"Transit"
"Qatar-2 b",2.49400000,1.33711647000,"Transit"
"HD 222076 b",1.56000000,871.00000000000,"Radial Velocity"
"HD 98736 b",2.33000000,968.80000000000,"Radial Velocity"
"K2-338 b",0.00340000,3.85061400000,"Transit"
"HD 40979 b",4.67000000,264.14999000000,"Radial Velocity"
"TOI-286 b",0.01425297,4.51172440000,"Transit"
"Kepler-750 c",0.01020000,4.08899022000,"Transit"
"Kepler-282 b",0.00317000,9.22052400000,"Transit"
"Kepler-278 c",0.10980768,51.11100000000,"Transit"
"GJ 180 d",0.02378630,106.30000000000,"Radial Velocity"
"HD 1461 c",0.01758802,13.50520000000,"Radial Velocity"
"Kepler-1248 b",0.00553000,7.46725407000,"Transit"
"K2-275 b",0.01910000,3.28096260000,"Transit"
"HD 74156 b",1.67500000,51.63564000000,"Radial Velocity"
"Kepler-267 c",0.01630000,6.87745000000,"Transit"
"K2-86 b",0.01420000,8.77683000000,"Transit"
"V830 Tau b",0.70000000,4.92700000000,"Radial Velocity"
"Kepler-377 c",0.01540000,27.01497600000,"Transit"
