pl_name,pl_bmassj,pl_bmasse,pl_orbper,discoverymethod
"WASP-23 b",0.88400000,280.95000000,2.94442560000,"Transit"
"HD 107148 b",0.21000000,66.74100000,48.05600000000,"Radial Velocity"
"SWEEPS-11 b",9.70000000,3082.82000000,1.79600000000,"Transit"
"OGLE-TR-211 b",1.03000000,327.35100000,3.67724000000,"Transit"
"Lupus-TR-3 b",0.81000000,257.43100000,3.91405000000,"Transit"
"OGLE-2005-BLG-390L b",0.01700000,5.50000000,3285.00000000000,"Microlensing"
"HN Peg b",21.99870000,6991.57000000,,"Imaging"
"MOA-2009-BLG-387L b",2.60000000,830.00000000,1980.00000000000,"Microlensing"
"GJ 674 b",0.03500000,11.09000000,4.69380000000,"Radial Velocity"
"CoRoT-11 b",2.33000000,740.51000000,2.99433000000,"Transit"
"2MASS J04414489+2301513 b",7.50000000,2383.60000000,,"Imaging"
"GJ 3634 b",0.02600000,8.40000000,2.64561000000,"Radial Velocity"
"CoRoT-13 b",1.30800000,415.70400000,4.03519000000,"Transit"
"OGLE-TR-10 b",0.62000000,197.04600000,3.10127800000,"Transit"
"HD 27442 b",1.56000000,495.80000000,428.10000000000,"Radial Velocity"
"GJ 3021 b",3.37000000,1071.04000000,133.71000000000,"Radial Velocity"
"CoRoT-8 b",0.22000000,69.92000000,6.21229000000,"Transit"
"Kepler-18 c",0.05400000,17.30000000,7.64159000000,"Transit"
"Kepler-18 b",0.02200000,6.90000000,3.50472500000,"Transit"
"HD 46375 b",0.22600000,71.80000000,3.02357300000,"Radial Velocity"
"HD 221287 b",3.09000000,982.05000000,456.10000000000,"Radial Velocity"
"HD 33564 b",9.10000000,2892.10000000,388.00000000000,"Radial Velocity"
"HD 189733 b",1.13000000,359.14790000,2.21857567000,"Radial Velocity"
"Kepler-4 b",0.07700000,24.47200000,3.21346000000,"Transit"
"WASP-38 b",3.44000000,1093.33520000,6.87188000000,"Transit"
"Kepler-30 c",2.01000000,640.00000000,60.32310500000,"Transit"
"Kepler-18 d",0.05200000,16.40000000,14.85888000000,"Transit"
"HAT-P-37 b",1.16900000,371.52800000,2.79743600000,"Transit"
"HD 129445 b",2.51000000,797.74930157,1840.00000000000,"Radial Velocity"
"Kepler-419 c",7.30000000,2320.10000000,675.47000000000,"Transit Timing Variations"
"HD 70573 b",6.10000000,1900.00000000,851.80000000000,"Radial Velocity"
"HD 47536 b",7.32000000,2330.00000000,712.13000000000,"Radial Velocity"
"WASP-67 b",0.43000000,136.66690000,4.61442000000,"Transit"
"CoRoT-14 b",7.60000000,2415.40000000,1.51214000000,"Transit"
"MOA-2008-BLG-310L b",0.07360000,23.40000000,,"Microlensing"
"Kepler-419 b",2.50000000,794.50000000,69.75460000000,"Transit"
"WASP-43 b",1.78000000,565.71400000,0.81347500000,"Transit"
"HD 11964 c",0.07880000,25.00000000,37.91000000000,"Radial Velocity"
"CoRoT-6 b",2.96000000,940.74000000,8.88659300000,"Transit"
"WASP-31 b",0.47800000,151.91600000,3.40590960000,"Transit"
"HD 108236 f",0.01490000,4.72000000,29.54115000000,"Transit"
"Kepler-59 c",0.01198760,3.81000000,17.98012350000,"Transit"
"WASP-8 c",9.45000000,3003.37000000,4323.00000000000,"Radial Velocity"
"HD 154857 c",2.58000000,819.97000000,3452.00000000000,"Radial Velocity"
"KOI-217 b",,,3.90512000000,"Transit"
"Kepler-416 b",0.18300000,58.20000000,6.31900000000,"Transit Timing Variations"
"Kepler-37 e",0.02548545,8.10000000,51.19600000000,"Transit Timing Variations"
"HAT-P-22 b",2.47000000,785.04010000,3.21222000000,"Transit"
"CHXR 73 b",12.56900000,3994.48600000,,"Imaging"
"FU Tau b",16.00000000,5085.28000000,,"Imaging"
"GJ 667 C b",0.01789000,5.68000000,7.20300000000,"Radial Velocity"
"HD 187123 b",0.52300000,166.21800000,3.09658280000,"Radial Velocity"
"HAT-P-18 b",0.19700000,62.61000000,5.50802300000,"Transit"
"Kepler-59 b",0.01290004,4.10000000,11.86817070000,"Transit"
"Kepler-53 b",0.34924506,111.00000000,18.64895250000,"Transit"
"HD 82943 c",1.95900000,622.60300000,220.07800000000,"Radial Velocity"
"HD 82943 b",1.68100000,534.25000000,441.47000000000,"Radial Velocity"
"UZ For b",6.30000000,2002.20000000,5840.00000000000,"Eclipse Timing Variations"
"Kepler-69 b",0.01780000,5.65000000,13.72234100000,"Transit"
"HIP 5158 c",15.04000000,4780.16320000,9017.76000000000,"Radial Velocity"
"HU Aqr AB b",5.90000000,1875.19700000,2390.00000000000,"Eclipse Timing Variations"
"Kepler-58 c",0.16675665,53.00000000,15.57415680000,"Transit"
"Kepler-30 b",0.03600000,11.30000000,29.33434000000,"Transit"
"Kepler-65 d",0.01300000,4.14000000,8.13123000000,"Transit"
"Kepler-52 c",0.14284437,45.40000000,16.38500210000,"Transit"
"Kepler-55 b",0.13500000,43.00000000,27.94814490000,"Transit"
"UZ For c",7.70000000,2447.20000000,1916.25000000000,"Eclipse Timing Variations"
"Kepler-413 b",0.21100000,67.00000000,66.26200000000,"Transit"
"WASP-14 b",8.84000000,2809.61720000,2.24375000000,"Transit"
"HAT-P-2 b",9.02000000,2866.81223114,5.63351580000,"Transit"
"HAT-P-42 b",1.04400000,331.80100000,4.64187800000,"Transit"
"WASP-59 b",0.86300000,274.27600000,7.91958500000,"Transit"
"HAT-P-39 b",0.59900000,190.37200000,3.54387000000,"Transit"
"alf Ari b",1.80000000,572.07000000,380.80000000000,"Radial Velocity"
"KOI-55 b",0.00140000,0.44000000,0.24010400000,"Orbital Brightness Modulation"
"GJ 536 b",0.02004226,6.37000000,8.70874000000,"Radial Velocity"
"WTS-2 b",1.12000000,355.96960000,1.01870680000,"Transit"
"KELT-6 c",3.71000000,1179.14930000,1276.00000000000,"Radial Velocity"
"KOI-55 c",0.00210000,0.65500000,0.34288700000,"Orbital Brightness Modulation"
"Ross 458 c",6.00000000,1906.98000000,,"Imaging"
"Kepler-38 b",0.38400000,122.00000000,105.59900000000,"Transit"
"HD 114783 b",1.10000000,349.60000000,493.70000000000,"Radial Velocity"
"HAT-P-13 b",0.85100000,270.46200000,2.91625000000,"Transit"
"ROXs 42 B b",9.00000000,2860.00000000,,"Imaging"
"HD 95086 b",5.00000000,1589.00000000,,"Imaging"
"RR Cae b",4.20000000,1334.88600000,4343.50000000000,"Eclipse Timing Variations"
"Kepler-50 c",0.02580009,8.20000000,9.37647000000,"Transit"
