# Temperature-pressure profiles of seven solar-system atmospheres,
# digitized from the vector curves of Robinson & Catling (2014),
# Nature Geoscience 7, 12-15, their Fig. 1 (arXiv 1312.6859).
# Axes calibrated from the printed major ticks; residuals 0.011 K
# and 6e-5 dex. Rows run from the top of each profile downward.
body,T_K,P_bar
Saturn,137.7,2.0005e-03
Saturn,137.3,2.2409e-03
Saturn,136.9,2.5102e-03
Saturn,135.9,2.8194e-03
Saturn,133.4,3.1610e-03
Saturn,131.2,3.5504e-03
Saturn,129.0,3.9805e-03
Saturn,126.2,4.4708e-03
Saturn,123.5,5.0081e-03
Saturn,120.6,5.6200e-03
Saturn,117.7,6.3122e-03
Saturn,114.8,7.0769e-03
Saturn,112.0,7.9416e-03
Saturn,108.4,8.9119e-03
Saturn,104.8,1.0000e-02
Saturn,102.2,1.1222e-02
Saturn,99.5,1.2593e-02
Saturn,97.3,1.4132e-02
Saturn,95.0,1.5844e-02
Saturn,92.7,1.7780e-02
Saturn,90.5,1.9952e-02
Saturn,88.7,2.2390e-02
Saturn,87.0,2.5124e-02
Saturn,85.6,2.8169e-02
Saturn,84.2,3.1611e-02
Saturn,83.8,3.5472e-02
Saturn,82.8,4.4670e-02
Saturn,82.3,5.0126e-02
Saturn,82.1,5.6201e-02
Saturn,82.1,6.3066e-02
Saturn,82.4,7.0771e-02
Saturn,82.6,7.9418e-02
Saturn,82.8,8.9118e-02
Saturn,83.4,1.0001e-01
Saturn,84.1,1.1223e-01
Saturn,84.9,1.2582e-01
Saturn,85.7,1.4120e-01
Saturn,86.8,1.5845e-01
Saturn,88.2,1.7780e-01
Saturn,89.8,1.9952e-01
Saturn,91.1,2.2390e-01
Saturn,92.4,2.5125e-01
Saturn,93.8,2.8170e-01
Saturn,95.6,3.1611e-01
Saturn,97.9,3.5473e-01
Saturn,100.7,3.9807e-01
Saturn,103.9,4.4671e-01
Saturn,107.5,5.0127e-01
Saturn,111.6,5.6252e-01
Saturn,115.8,6.3067e-01
Saturn,120.3,7.0773e-01
Saturn,125.0,7.9420e-01
Saturn,134.8,1.0001e+00
Saturn,139.9,1.1223e+00
Saturn,145.0,1.2583e+00
Saturn,146.2,1.2982e+00
Uranus,76.4,1.0000e-03
Uranus,73.9,1.1202e-03
Uranus,72.8,1.2604e-03
Uranus,71.6,1.4094e-03
Uranus,70.3,1.5802e-03
Uranus,69.1,1.7795e-03
Uranus,68.5,2.0005e-03
Uranus,68.2,2.2409e-03
Uranus,68.0,2.5102e-03
Uranus,68.3,2.8194e-03
Uranus,68.8,3.1610e-03
Uranus,69.4,3.5504e-03
Uranus,69.0,3.9805e-03
Uranus,68.4,4.4708e-03
Uranus,67.9,5.0081e-03
Uranus,67.0,5.6200e-03
Uranus,64.8,6.3122e-03
Uranus,63.8,7.0769e-03
Uranus,63.4,7.9416e-03
Uranus,63.3,8.9119e-03
Uranus,63.4,1.0000e-02
Uranus,64.3,1.1222e-02
Uranus,65.9,1.2593e-02
Uranus,66.2,1.4132e-02
Uranus,61.1,1.5844e-02
Uranus,58.8,1.7780e-02
Uranus,58.2,1.9952e-02
Uranus,57.2,2.2390e-02
Uranus,56.4,2.5124e-02
Uranus,55.7,2.8169e-02
Uranus,55.2,3.1611e-02
Uranus,54.9,3.5472e-02
Uranus,54.6,3.9806e-02
Uranus,54.3,4.4670e-02
Uranus,53.9,5.0126e-02
Uranus,53.5,5.6201e-02
Uranus,53.4,6.3066e-02
Uranus,53.4,7.0771e-02
Uranus,53.3,7.9418e-02
Uranus,53.2,8.9118e-02
Uranus,53.0,1.0001e-01
Uranus,53.0,1.1223e-01
Uranus,53.1,1.2582e-01
Uranus,53.4,1.4120e-01
Uranus,53.5,1.5845e-01
Uranus,54.3,1.9952e-01
Uranus,54.7,2.2390e-01
Uranus,55.2,2.5125e-01
Uranus,55.7,2.8170e-01
Uranus,56.3,3.1611e-01
Uranus,57.2,3.5473e-01
Uranus,58.3,3.9807e-01
Uranus,59.6,4.4671e-01
Uranus,61.3,5.0127e-01
Uranus,63.2,5.6252e-01
Uranus,65.3,6.3067e-01
Uranus,67.6,7.0773e-01
Uranus,70.3,7.9420e-01
Uranus,73.2,8.9120e-01
Uranus,76.4,1.0001e+00
Uranus,80.1,1.1223e+00
Uranus,82.9,1.2583e+00
Uranus,83.5,1.2982e+00
Uranus,85.9,1.4120e+00
Uranus,89.2,1.5845e+00
Uranus,92.6,1.7780e+00
Uranus,96.0,1.9953e+00
Uranus,99.8,2.2391e+00
Uranus,100.9,2.3081e+00
Neptune,123.9,1.0000e-03
Neptune,122.9,1.1202e-03
Neptune,121.5,1.2604e-03
Neptune,119.6,1.4094e-03
Neptune,117.1,1.5802e-03
Neptune,114.6,1.7795e-03
Neptune,112.3,2.0005e-03
Neptune,109.9,2.2409e-03
Neptune,106.9,2.5102e-03
Neptune,103.2,2.8194e-03
Neptune,100.4,3.1610e-03
Neptune,97.6,3.5504e-03
Neptune,94.4,3.9805e-03
Neptune,90.9,4.4708e-03
Neptune,87.4,5.0081e-03
Neptune,84.1,5.6200e-03
Neptune,80.9,6.3122e-03
Neptune,77.7,7.0769e-03
Neptune,74.9,7.9416e-03
Neptune,69.7,1.0000e-02
Neptune,67.6,1.1222e-02
Neptune,65.9,1.2593e-02
Neptune,64.3,1.4132e-02
Neptune,62.8,1.5844e-02
Neptune,61.5,1.7780e-02
Neptune,60.4,1.9952e-02
Neptune,59.2,2.2390e-02
Neptune,58.3,2.5124e-02
Neptune,57.5,2.8169e-02
Neptune,56.7,3.1611e-02
Neptune,55.3,3.9806e-02
Neptune,54.7,4.4670e-02
Neptune,54.1,5.0126e-02
Neptune,53.6,5.6201e-02
Neptune,53.2,6.3066e-02
Neptune,52.7,7.0771e-02
Neptune,52.5,7.9418e-02
Neptune,52.1,8.9118e-02
Neptune,51.8,1.0001e-01
Neptune,51.8,1.1223e-01
Neptune,51.7,1.2582e-01
Neptune,51.7,1.4120e-01
Neptune,51.8,1.5845e-01
Neptune,52.1,1.7780e-01
Neptune,52.3,1.9952e-01
Neptune,52.6,2.2390e-01
Neptune,53.1,2.5125e-01
Neptune,53.6,2.8170e-01
Neptune,54.3,3.1611e-01
Neptune,55.1,3.5473e-01
Neptune,56.0,3.9807e-01
Neptune,57.2,4.4671e-01
Neptune,58.8,5.0127e-01
Neptune,60.6,5.6252e-01
Neptune,62.4,6.3067e-01
Neptune,64.3,7.0773e-01
Neptune,66.4,7.9420e-01
Neptune,68.7,8.9120e-01
Neptune,71.5,1.0001e+00
Neptune,74.5,1.1223e+00
Neptune,77.9,1.2583e+00
Neptune,78.7,1.2982e+00
Neptune,81.4,1.4120e+00
Neptune,85.8,1.5845e+00
Neptune,90.3,1.7780e+00
Neptune,94.4,1.9953e+00
Neptune,98.4,2.2391e+00
Neptune,99.4,2.3081e+00
Neptune,102.2,2.5126e+00
Neptune,106.3,2.8171e+00
Neptune,110.4,3.1612e+00
Neptune,114.5,3.5474e+00
Neptune,118.7,3.9808e+00
Neptune,122.9,4.4671e+00
Neptune,127.1,4.9994e+00
